"You're at the end of the line. The railway line that is. There are many colonial buildings nearby, and a quaint oval. An art deco cinema on the main street is showing the latest blockbusters. A few kilometres to the west there's a large river. ",A) Cabramatta ,B) Penrith ,C) Glebe,D) Richmond ,D
"You're sitting in a nice little cafe overlooking a lovely body of water. There's an island not far away, and maybe you'll take the minute ferry there after your meal. You wouldn't mind owning a yacht and sailing around this area. Thousands of people have had that idea before you, though. You can see lots of bushland across the water. ",A) Villawood ,B) Mosman ,C) Church Point ,D) Brighton le Sands ,C
Which of the following is NOT an island (or former island) in Sydney Harbour? ,A) Glebe Island,B) Garden Island ,C) Norfolk Island ,D) Cockatoo Island ,C
"In the 19th century, a fort was built in Sydney Harbour to defend it from attacks by warships - an attack which never came. What was the name of the fort?",A) Fort Denison ,B) Fort Sydney ,C) Fort Cook ,D) Fort Bennelong ,A
"Name these beaches in order from north to south: Coogee Beach, Bondi Beach, Maroubra Beach, Clovelly Beach","A) Maroubra, Bondi, Clovelly, Coogee","B) Bondi, Clovelly, Coogee, Maroubra","C) Coogee, Bondi, Maroubra, Clovelly","D) Clovelly, Coogee, Maroubra, Bondi",B
"During the Victorian gold rush in 1851, people came from near and far in search of riches. The new colony of Melbourne at the time had many of their police officers leave to find their wealth. In 1851, how many police officers remained on duty after their colleagues left to become gold miners? ",A) 250 police officers remained. Only 50 went in search for gold. ,B) 150 officers remained. Half of Melbourne’s police force resigned to become gold miners ,C) 2 officers remained. Every other police officer in Melbourne resigned to become gold miners ,D) 50 offices remained. Every other police officer in Melbourne resigned to become gold miners ,C
In which city was google maps invented? ,A) San Fransciso ,B) Sydney ,C) Tokyo ,D) Prague ,B
How long would it take to walk from CoderFactory to the Sydney Opera House? ,A) 52 mins ,B) 1hr 12 mins ,C) 38 mins,D) 64 mins ,A
Where can we find Australia's largest non-Anglo-Celtic commercial precinct? ,A) Strathfield ,B) Alice Springs ,C) Chatswood ,D) Cabramatta ,D
You would like to take a scenic escape and decide to board a ferry from Sydney Harbour. How long have ferry services been operating in Sydney Harbour? ,A) 2016 ,B) 1912 ,C) 1875 ,D) 1799 ,C
The Sydney Opera House is a large white building quite prominent in aerial photos. What is the name of the point on which it is built? ,A) Dawes Point ,B) Cook Point ,C) Bennelong Point,D) Mrs Macquarie's Point ,C
"What do these suburbs have in common? Randwick, Rosehill, Hawkesbury, Warwick Farm and Canterbury. ",A) All are major railway junctions ,B) All contain a major water reservoir ,C) All have a university ,D) All have a horse racing track ,D
"Brickfield Hill, Central, Chinatown, Circular Quay, Cockatoo Island, Dawes Point, Gallows Hill, Goat Island, Haymarket, Millers Point, Spectacle Island, Sydney CBD, The Rocks, Town Hall, Wynyard. All these places have one thing in common. What is it? ",A) They were all convict prisons ,B) They all share the same postcode ,C) They were all named after towns in England ,D) They were all associated with gold mining ,B
